graph,w,mode,frac,n,eat_n,eat_med,eat_q25,eat_q75,bitter_n,bitter_med,bitter_q25,bitter_q75,escape_n,escape_med,escape_q25,escape_q75,turn_away_n,turn_away_med,turn_away_q25,turn_away_q75,turn_to_n,turn_to_med,turn_to_q25,turn_to_q75,head_n,head_med,head_q25,head_q75
flywire_ge5,1.0,A,0.0,40,40,0.9740944385092072,0.9222814502413913,1.0906701647001107,40,1.0,1.0,1.0,40,1.0004446976681134,0.9937737324240625,1.0048911741268993,40,1.0023790700353599,0.9752785182105833,1.0328504282387019,40,0.9958364854409711,0.9784891587014957,1.0149185448543943,40,0.9995861312838717,0.9960833349166125,1.0038315166601048
flywire_ge5,1.0,A,0.01,40,40,1.010364929261351,0.9196910339887793,1.0984414134579468,40,1.0,1.0,1.0,40,0.9982217095498949,0.9937737324240625,1.0048926747939457,40,1.0294552398971812,0.9617343377889338,1.0836441525652567,40,1.0062448814846563,0.9854280893972858,1.0357415826039573,40,1.000647000017299,0.9962962537358822,1.0045743922354573
flywire_ge5,1.0,A,0.02,40,40,0.948185612767511,0.8601091285709155,1.0829035791578512,40,1.0,1.0,1.0,40,0.9993332036090041,0.9871047680694067,1.0071156629121643,40,0.982050608421408,0.8770710191721469,1.1649122828405232,40,1.027061673572027,0.9993059507888663,1.060027840039223,40,1.001921265180627,0.9973565493365526,1.0086072408809252
flywire_ge5,1.0,A,0.05,40,40,0.948185612767511,0.7357528271910234,1.2227977148378388,38,1.0,1.0,1.0,40,0.9926632388096508,0.9798800566851965,1.007113662022769,40,0.9955947888430576,0.8364293346710904,1.1479820573134614,40,1.0409457806257998,0.9975712181149188,1.0843140974744885,40,1.0110484043377477,1.0021330377343822,1.0247401638168165
flywire_ge5,1.0,A,0.1,40,40,0.8704637987579991,0.5362721228775956,1.2746107031056548,39,1.0,1.0,1.0,40,0.9948872273725671,0.9659858807239818,1.0110058921190468,40,0.954962247578109,0.6637349388043208,1.2292562830794664,40,1.0652320380610654,1.018388010202289,1.1519749174206353,40,1.0318514040228972,1.0144448845785612,1.0428887946594956
flywire_ge5,1.0,A,0.15,40,40,0.7461144922014713,0.2772001867151517,1.3057003613525748,34,1.0,1.0,1.0,40,0.9759898274783141,0.9226336106399293,1.0315705331019636,40,0.8601407936450851,0.6535707079973448,1.2190981477632292,40,1.0617625727131703,0.7980582236243735,1.200555239368907,40,1.0435259272411592,1.0261199809295807,1.0596584680885461
flywire_ge5,1.0,A,0.2,40,40,0.8186554737057594,0.29533543209122365,1.3626895189100385,34,1.0,1.0,1.0,40,0.9837702858920789,0.9042904571081845,1.0393494908486822,40,0.9210957010332466,0.5113507180792864,1.303761466380016,40,1.0687015034089606,0.7772398701214548,1.197084212605464,40,1.0547763322191537,1.040448586423935,1.0747299491582527
flywire_ge5,1.0,A,0.3,40,40,0.2849737670807757,0.00777124875783595,0.8082938086953114,26,1.0,1.0,1.0,40,0.9759888270336164,0.9092921803741764,1.0254573157768627,40,0.5824607130383156,0.20995917849852214,1.2800591506421295,40,1.0721709687568557,0.8015261275567205,1.275154990010844,40,1.076640391681983,1.0561561493319176,1.1004154668012993
flywire_ge5,1.0,A,0.4,40,40,0.03626582753656776,0.0,0.3471460887512514,16,1.0,0.9976417497325477,1.0,40,0.9715418503524816,0.8881717923617047,1.0160076153850386,40,0.48763925910529166,0.12868190498714766,0.927864743498702,40,1.1415665213769501,0.8015261275567205,1.4156855121716247,40,1.105933971075346,1.0744116694337993,1.122278666564993
flywire_ge5,1.0,A,0.5,40,40,0.0,0.0,0.13471330317476377,13,1.0,0.9545491736213386,1.0,40,0.972653344411591,0.8903962811469698,1.0171191094441479,40,0.20994698751704452,0.020316270632474216,0.8703019767066916,40,0.9646081744788191,0.7321305749366261,1.264746593967159,40,1.1252506464770335,1.0977615755694596,1.1429756366900754
flywire_ge5,1.0,A,0.7,40,40,0.0,0.0,0.0,4,0.5681762395679921,0.08301761329826352,1.0,40,0.9670958741160445,0.9026227157971717,0.9915527451952393,40,0.0,0.0,0.19301980973535204,40,0.6557945302051935,0.4493394821877618,0.9177672694511392,40,1.1564544773498748,1.147645426872955,1.1725873047636397
flywire_ge5,1.0,A,0.85,40,40,0.0,0.0,0.0,0,,,,40,0.9848817799511882,0.963205644909162,1.001000444697668,40,0.0,0.0,0.0,40,0.3955565236331954,0.1110338210414798,0.5222060615712993,40,1.187658499266968,1.1748164091003281,1.199014933805029
flywire_ge5,1.0,A,0.95,40,40,0.0,0.0,0.0,0,,,,40,0.9915527451952393,0.9848832806182346,1.001000444697668,40,0.0,0.0,0.0,40,0.0,0.0,0.23941809165353128,40,1.2088859992808902,1.1979536829830972,1.2138735915775924
