graph,w,mode,frac,n,eat_n,eat_measurable,eat_med,eat_q25,eat_q75,bitter_n,bitter_measurable,bitter_med,bitter_q25,bitter_q75,escape_n,escape_measurable,escape_med,escape_q25,escape_q75,turn_away_n,turn_away_measurable,turn_away_med,turn_away_q25,turn_away_q75,turn_to_n,turn_to_measurable,turn_to_med,turn_to_q25,turn_to_q75,head_n,head_measurable,head_med,head_q25,head_q75
flywire_ge5,1.0,A,0.0,40,40,1.0,1.0,0.946809070846239,1.1196760001723403,40,1.0,1.0,1.0,1.0,40,1.0,1.0,0.9933320000000001,1.0044445,40,1.0,1.0,0.9729637692616422,1.0303990367658684,40,1.0,1.0,0.982580145442458,1.0191618400132962,40,1.0,1.0,0.9964957533346724,1.0042471431359101
flywire_ge5,1.0,A,0.01,40,40,1.0,1.0,0.9361694488460377,1.1329797165001507,40,1.0,1.0,1.0,1.0,40,1.0,0.998889,0.9933320000000001,1.0027789999999999,40,1.0,0.9932379018036317,0.8783673667951791,1.0540481373824842,40,1.0,1.017419854557542,0.9947740436327375,1.0452978936244273,40,1.0,1.001486366311222,0.9975574435569738,1.0062645456816348
flywire_ge5,1.0,A,0.02,40,40,1.0,0.9999952127685037,0.8723388976920756,1.0558502362498743,40,1.0,1.0,1.0,1.0,40,1.0,0.998889,0.9872214999999999,1.011112,40,1.0,0.9526896367196527,0.8885013925543948,1.0439141116232684,40,1.0,1.0209038254690503,1.0017419854557543,1.059233777270461,40,1.0,1.0055211714026715,1.000106551268935,1.01284759842996
flywire_ge5,1.0,A,0.05,40,40,1.0,0.9202159998851065,0.6835161257892948,1.0877619214032332,39,0.975,1.0,1.0,1.0,40,1.0,0.996666,0.9555555000000001,1.016667,40,1.0,0.9256716490519685,0.6486506208725054,1.0439110711114896,40,1.0,1.0313557382035754,0.9860641163539664,1.0940750543292492,40,1.0,1.013166487743355,1.005308642234859,1.0299423399958296
flywire_ge5,1.0,A,0.1,40,40,1.0,0.7340453542311944,0.2952189919047915,1.0585119369617355,39,0.975,1.0,1.0,1.0,40,1.0,0.974445,0.935556,1.0055554999999998,40,1.0,0.9662077520888316,0.8074261459688896,1.3175510501927685,40,1.0,1.0627177481819694,0.9808381599867038,1.1916372154574162,40,1.0,1.025695770229977,1.0160329557818923,1.0448081054649236
flywire_ge5,1.0,A,0.15,40,40,1.0,0.792550110345686,0.1861706456539119,1.0877619214032332,37,0.925,1.0,1.0,1.0,40,1.0,0.98,0.9327785000000001,1.0183335,40,1.0,1.0270240686912424,0.6249923987205527,1.260127944735658,40,1.0,1.1080125059189876,0.9216012468288338,1.2351931236260894,40,1.0,1.0462940895294408,1.025588836714337,1.0622209718507793
flywire_ge5,1.0,A,0.2,40,40,1.0,0.45212529142271735,0.17021480307723239,1.0026617007118612,35,0.875,1.0,1.0,1.0,40,1.0,0.9711120000000001,0.9461105000000001,1.011666,40,1.0,0.9999939189764422,0.6013463386157158,1.2567408146139158,40,1.0,1.0731696609164945,0.7717748181969275,1.2665488618296648,40,1.0,1.0556379191024543,1.0374811050675785,1.083987723764832
flywire_ge5,1.0,A,0.3,40,40,1.0,0.13830311792387345,0.01861514967279273,0.35106683453891774,27,0.675,1.0,1.0,1.0,40,1.0,0.981112,0.9033329999999999,1.0116654999999999,40,1.0,0.864855332449558,0.6655285017574157,1.2330947545090791,40,1.0,1.1777013318113827,0.841462076145618,1.360628619990028,40,1.0,1.0826071442291356,1.0484179477824245,1.1079844073924219
flywire_ge5,1.0,A,0.4,40,40,1.0,0.02659307096113247,0.0,0.10904355901938349,18,0.45,,,,40,1.0,0.9711120000000001,0.9111115000000001,1.0227775,40,1.0,1.0270179876676844,0.25337496807462634,1.2702528489595368,40,1.0,1.1219515254524302,0.7299671672588267,1.3397185227461592,40,1.0,1.1036307129875773,1.07262658720777,1.1166911272703781
flywire_ge5,1.0,A,0.5,40,40,1.0,0.0,0.0,0.053188535538013004,12,0.3,,,,40,1.0,0.9477769999999999,0.911667,1.0088899999999998,40,1.0,0.6013463386157158,0.0371580944504579,1.3716174306459263,40,1.0,0.9895480872654747,0.6951211863689246,1.259580920006648,40,1.0,1.1233806357259621,1.1078780472468395,1.1403693038312779
flywire_ge5,1.0,A,0.7,40,40,1.0,0.0,0.0,0.0,3,0.075,,,,40,1.0,0.9488890000000001,0.8972225,0.9755565000000002,40,1.0,0.006756017172810528,0.0,0.7668839619084684,40,1.0,0.7003471427361871,0.4250883536277514,0.94947615000831,40,1.0,1.1671264775985275,1.1476954441735376,1.182416441348161
flywire_ge5,1.0,A,0.85,40,40,1.0,0.0,0.0,0.0,0,0.0,,,,40,1.0,0.9755560000000001,0.921111,1.022778,40,1.0,0.0,0.0,0.013512034345621055,40,1.0,0.3832744309148324,0.18815324454590782,0.7456450363606144,40,1.0,1.1951579663175669,1.181885787360363,1.205988162201802
flywire_ge5,1.0,A,0.95,40,40,1.0,0.0,0.0,0.0,0,0.0,,,,40,1.0,0.9877779999999998,0.9683325,0.9955559999999999,40,1.0,0.0,0.0,0.0,40,1.0,0.0,0.0,0.4059218097833415,40,1.0,1.210235687584417,1.2029092605571283,1.2138455299019175
