graph,w,fly,cond,active,MN9_L,MN9_R,DNp01,DNa_L,DNa_R,DNa02_L,DNa02_R,headDN,wall_ms
malecns_all_shuf,0.152,0,rand2_80,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.90989685058594
malecns_all_shuf,0.152,0,rand2_150,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0838012695312
malecns_all_shuf,0.152,0,bitter150,95.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.64420318603516
malecns_all_shuf,0.152,0,sugar40_bitter,103.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.1683959960938
malecns_all_shuf,0.152,0,sugar80_bitter,137.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.1656951904297
malecns_all_shuf,0.152,0,sugar100_bitter,163.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.7728118896484
malecns_all_shuf,0.152,0,loom,1554.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6667,3179.231201171875
malecns_all_shuf,0.152,0,loomL,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4444,2468.4588012695312
malecns_all_shuf,0.152,0,loomR,690.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2306.0640869140625
malecns_all_shuf,0.152,0,lc10L,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2356.5820922851562
malecns_all_shuf,0.152,0,lc10R,979.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33330000000000004,2617.71337890625
malecns_all_shuf,0.152,0,head,884.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2602.4683837890625
malecns_all_shuf,0.152,3,sugar10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.76319885253906
malecns_all_shuf,0.152,3,sugar20,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.54830169677734
malecns_all_shuf,0.152,3,sugar40,11.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.64690017700195
malecns_all_shuf,0.152,3,sugar60,21.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.81639862060547
malecns_all_shuf,0.152,3,sugar80,34.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.76130294799805
malecns_all_shuf,0.152,3,sugar100,60.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.16529083251953
malecns_all_shuf,0.152,3,sugar150,113.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.2509002685547
malecns_all_shuf,0.152,3,rand0_40,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.77519989013672
malecns_all_shuf,0.152,3,rand0_80,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.1009979248047
malecns_all_shuf,0.152,3,rand0_150,104.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.9464111328125
malecns_all_shuf,0.152,3,rand1_40,14.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.75510025024414
malecns_all_shuf,0.152,3,rand1_80,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.6356964111328
malecns_all_shuf,0.152,3,rand1_150,99.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.7872009277344
malecns_all_shuf,0.152,3,rand2_40,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.99709701538086
malecns_all_shuf,0.152,3,rand2_80,27.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.28189849853516
malecns_all_shuf,0.152,3,rand2_150,104.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.85400390625
malecns_all_shuf,0.152,3,bitter150,101.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.32090759277344
malecns_all_shuf,0.152,3,sugar40_bitter,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.4156951904297
malecns_all_shuf,0.152,3,sugar80_bitter,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0897827148438
malecns_all_shuf,0.152,3,sugar100_bitter,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0774841308594
malecns_all_shuf,0.152,3,loom,1539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333,3155.6796875
malecns_all_shuf,0.152,3,loomL,636.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2384.3909912109375
malecns_all_shuf,0.152,3,loomR,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2361.38134765625
malecns_all_shuf,0.152,3,lc10L,767.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2403.4505615234375
malecns_all_shuf,0.152,3,lc10R,998.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777999999999999,2591.393310546875
malecns_all_shuf,0.152,3,head,924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2724.3347778320312
malecns_all_shuf,0.152,2,sugar10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.64859962463379
malecns_all_shuf,0.152,2,sugar20,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.46900177001953
