graph,w,mode,frac,n,eat_n,eat_measurable,eat_med,eat_q25,eat_q75,bitter_n,bitter_measurable,bitter_med,bitter_q25,bitter_q75,escape_n,escape_measurable,escape_med,escape_q25,escape_q75,turn_away_n,turn_away_measurable,turn_away_med,turn_away_q25,turn_away_q75,turn_to_n,turn_to_measurable,turn_to_med,turn_to_q25,turn_to_q75,head_n,head_measurable,head_med,head_q25,head_q75
malecns_all,0.5524861878453039,A,0.0,200,200,1.0,1.0,0.7586121283595059,1.3202010276205463,198,0.99,1.0,1.0,1.0,200,1.0,1.0,0.9985558441558442,1.0014366366925544,200,1.0,1.0,0.9772750516476099,1.0227249483523901,200,1.0,1.0,0.9863027209626314,1.0136972790373684,200,1.0,1.0,0.9930136674074086,1.0080946560489243
malecns_all,0.5524861878453039,A,0.01,200,200,1.0,1.0689590962696296,0.7241325802246912,1.4117740483879508,197,0.985,1.0,1.0,1.0,200,1.0,1.0,0.9985550580122748,1.0028763836102603,200,1.0,1.0,0.9583372396077475,1.0416815105094406,200,1.0,0.9933306969870512,0.9662694695136743,1.0201321607190317,200,1.0,1.0047931200211875,0.9934592794076886,1.013917585966432
malecns_all,0.5524861878453039,A,0.02,200,200,1.0,1.0,0.6551734839550617,1.4138166470113585,198,0.99,1.0,1.0,1.0,200,1.0,1.0,0.996742183402666,1.0028732733851091,200,1.0,1.0,0.9545501032952197,1.0833442709016932,200,1.0,0.9966890772330104,0.9507948381006925,1.0317988837475554,200,1.0,1.010471171115529,0.9972890375056611,1.0313438763989242
malecns_all,0.5524861878453039,A,0.05,200,200,1.0,0.9066171362092381,0.6120740487865433,1.4482961951461735,192,0.96,1.0,1.0,1.0,200,1.0,0.9992810351025558,0.9913428571428572,1.0057797679509006,200,1.0,1.0408309455587392,0.9327231055277851,1.166669791686198,200,1.0,0.9880783405080948,0.9460323282373859,1.0766395701052414,200,1.0,1.0418862830810904,1.0224556581623816,1.0706187858947536
malecns_all,0.5524861878453039,A,0.1,200,200,1.0,0.5294086505373498,0.23526920429879825,1.169159851977929,165,0.825,1.0,1.0,1.0,200,1.0,1.0014435064935063,0.991378886742339,1.008669651926351,200,1.0,1.1339347110036695,0.8153684804479774,1.3487504772818153,200,1.0,0.9740282774341907,0.848908119340564,1.100666843847399,200,1.0,1.0931336550941668,1.0562314824186492,1.1487157756455515
malecns_all,0.5524861878453039,A,0.15,200,200,1.0,0.5517348395506175,0.2105063710861636,1.014704325268675,154,0.77,1.0,1.0,1.0,200,1.0,1.001442857142857,0.9913394047310935,1.0086584415584414,200,1.0,1.206216088690757,0.6488960185739293,1.409089979340956,200,1.0,1.0119216594919054,0.7842884075786876,1.1119531716888547,200,1.0,1.1589554766631007,1.0969681344986406,1.2171657174589299
malecns_all,0.5524861878453039,A,0.2,200,200,1.0,0.416710417760444,0.10343864440444417,0.920264913549783,137,0.685,1.0,1.0,1.0,200,1.0,1.0,0.9913785634667556,1.0072155844155846,200,1.0,1.113634969011434,0.5486867136070361,1.6154507072747117,200,1.0,1.0119216594919054,0.7054776787365462,1.1438399230683878,200,1.0,1.2144182868080893,1.1432220797923003,1.2612045712189435
malecns_all,0.5524861878453039,A,0.3,200,200,1.0,0.2105063710861636,0.0,0.742303309196598,106,0.53,1.0,1.0,1.0,200,1.0,0.9971142857142857,0.9883732490542146,1.0071909590256511,200,1.0,1.062512890705567,0.46429358607009036,1.5962327098489166,200,1.0,0.9880783405080948,0.7046050464738833,1.2557610778217452,200,1.0,1.3052844831161283,1.2410152691105085,1.3669430814835333
malecns_all,0.5524861878453039,A,0.4,200,200,1.0,0.23832853796964615,0.0,0.5926969220410139,108,0.54,1.0,1.0,1.0,200,1.0,0.9971010638551283,0.987012987012987,1.0028950603490845,200,1.0,0.8144119296712101,0.21732774648773218,1.421891699323121,200,1.0,0.9630098844728479,0.6519407209527898,1.2375722937322777,200,1.0,1.380920995957009,1.3501420976448615,1.4316164330223988
malecns_all,0.5524861878453039,A,0.5,200,200,1.0,0.0,0.0,0.33822043635955107,66,0.33,,,,200,1.0,0.9913428571428572,0.9796505695642848,1.0,200,1.0,0.6804957774745735,0.015304716773198147,1.233115062635055,200,1.0,1.0643785813545885,0.8326314407741815,1.2259205941139313,200,1.0,1.4573589758125607,1.4091827692580385,1.4910033750258491
malecns_all,0.5524861878453039,A,0.7,200,200,1.0,0.0,0.0,0.0,1,0.005,,,,200,1.0,0.9812807010656741,0.9738371940913919,0.9898841055080773,200,1.0,0.0,0.0,1.1709210859584624,200,1.0,0.8684048518426564,0.5514444957365825,1.0768234429317298,200,1.0,1.5533096844599514,1.5061177363064404,1.5840094598038665
malecns_all,0.5524861878453039,A,0.85,200,200,1.0,0.0,0.0,0.0,0,0.0,,,,200,1.0,0.9739884430652539,0.9682532467532469,0.9812415584415585,200,1.0,0.0,0.0,0.3749973366637679,200,1.0,0.4508569484006318,0.3313289808218283,0.6969184204361923,200,1.0,1.6134573849498128,1.5895325363284145,1.6405208405506675
malecns_all,0.5524861878453039,A,0.95,200,200,1.0,0.0,0.0,0.0,0,0.0,,,,200,1.0,0.9680238186184993,0.9639119687813009,0.9711710415156718,200,1.0,0.0,0.0,0.0,200,1.0,0.0,0.0,0.28332875893192794,200,1.0,1.6507751792560053,1.6347758201053646,1.6625562682420068
