graph,mode,frac,mask,syn_lost
malecns_all,A,0.2,9,0.36001674210223633
malecns_all,A,0.3,9,0.5101653016117406
malecns_all,A,0.4,9,0.6387042501076758
malecns_all,A,0.5,9,0.7468591303727474
malecns_all,A,0.7,9,0.9068012278745697
malecns_all,A,0.85,9,0.9751681607922967
malecns_all,A,0.95,9,0.9958663833109968
malecns_all,A,0.0,10,0.0
malecns_all,A,0.01,10,0.019700899768261323
malecns_all,A,0.02,10,0.041273453750623884
malecns_all,A,0.05,10,0.09634404005784444
malecns_all,A,0.1,10,0.18870491690847668
malecns_all,A,0.15,10,0.27424362334040175
malecns_all,A,0.2,10,0.35791840786739154
malecns_all,A,0.3,10,0.5056306610843748
malecns_all,A,0.4,10,0.630415585574546
malecns_all,A,0.5,10,0.7419254978546833
malecns_all,A,0.7,10,0.905218370166942
malecns_all,A,0.85,10,0.9752027505799111
malecns_all,A,0.95,10,0.9956967804712606
malecns_all,A,0.0,11,0.0
malecns_all,A,0.01,11,0.01859544563281194
malecns_all,A,0.02,11,0.03866570628000412
malecns_all,A,0.05,11,0.0958279104367355
malecns_all,A,0.1,11,0.18679996296877002
malecns_all,A,0.15,11,0.27386518365008305
malecns_all,A,0.2,11,0.35469978378399475
malecns_all,A,0.3,11,0.5056815620935146
malecns_all,A,0.4,11,0.6367672945672602
malecns_all,A,0.5,11,0.7453229003438547
malecns_all,A,0.7,11,0.9063881903337492
malecns_all,A,0.85,11,0.9750638350902123
malecns_all,A,0.95,11,0.9959572036764252
malecns_all,A,0.0,12,0.0
malecns_all,A,0.01,12,0.019808716700657383
malecns_all,A,0.02,12,0.04110015004549968
malecns_all,A,0.05,12,0.1005779026278289
malecns_all,A,0.1,12,0.19383198616189184
malecns_all,A,0.15,12,0.280408394285135
malecns_all,A,0.2,12,0.3631361604171467
malecns_all,A,0.3,12,0.5111364925436109
malecns_all,A,0.4,12,0.6404021732836124
malecns_all,A,0.5,12,0.7483706476512817
malecns_all,A,0.7,12,0.9087925434028865
malecns_all,A,0.85,12,0.9746913135593596
malecns_all,A,0.95,12,0.9959259116098211
malecns_all,A,0.0,13,0.0
malecns_all,A,0.01,13,0.019275622764131046
malecns_all,A,0.02,13,0.040181521077605566
malecns_all,A,0.05,13,0.09824648643952126
malecns_all,A,0.1,13,0.1892808409036994
malecns_all,A,0.15,13,0.27738028010890636
malecns_all,A,0.2,13,0.36134693310252836
malecns_all,A,0.3,13,0.5080431818586062
malecns_all,A,0.4,13,0.6333250866119413
malecns_all,A,0.5,13,0.7440161723463501
malecns_all,A,0.7,13,0.9058111697858189
malecns_all,A,0.85,13,0.9749380056670166
malecns_all,A,0.95,13,0.9958092496897764
malecns_all,A,0.0,14,0.0
malecns_all,A,0.01,14,0.01966346378133978
malecns_all,A,0.02,14,0.03885490193650079
malecns_all,A,0.05,14,0.09767263460640038
malecns_all,A,0.1,14,0.19302771312820155
malecns_all,A,0.15,14,0.2766243198974504
malecns_all,A,0.2,14,0.35958299100328495
malecns_all,A,0.3,14,0.5084146552140767
malecns_all,A,0.4,14,0.6341276341876947
malecns_all,A,0.5,14,0.7441932494828504
malecns_all,A,0.7,14,0.9046390113816205
malecns_all,A,0.85,14,0.97446808445449
malecns_all,A,0.95,14,0.9956530796207083
malecns_all,A,0.0,15,0.0
malecns_all,A,0.01,15,0.018993840969831206
malecns_all,A,0.02,15,0.03992559696369716
malecns_all,A,0.05,15,0.09596088357830562
malecns_all,A,0.1,15,0.18661125914841425
malecns_all,A,0.15,15,0.2769579621845091
malecns_all,A,0.2,15,0.35956413190929193
malecns_all,A,0.3,15,0.5054174783373997
malecns_all,A,0.4,15,0.6337570235611927
malecns_all,A,0.5,15,0.7416401522640839
malecns_all,A,0.7,15,0.9036868569272694
malecns_all,A,0.85,15,0.9735706205664297
malecns_all,A,0.95,15,0.9957602031447745
malecns_all,A,0.0,16,0.0
malecns_all,A,0.01,16,0.02047543687264587
malecns_all,A,0.02,16,0.03831180195651772
malecns_all,A,0.05,16,0.09455689296821547
malecns_all,A,0.1,16,0.18796206695218642
malecns_all,A,0.15,16,0.27448853354990893
malecns_all,A,0.2,16,0.35310184847663756
malecns_all,A,0.3,16,0.5028906500062899
malecns_all,A,0.4,16,0.6332937139164617
malecns_all,A,0.5,16,0.7418314039569072
malecns_all,A,0.7,16,0.9064779786495705
malecns_all,A,0.85,16,0.9751325550808504
malecns_all,A,0.95,16,0.9960791709764817
malecns_all,A,0.0,17,0.0
malecns_all,A,0.01,17,0.01939549371342301
malecns_all,A,0.02,17,0.04013337757600993
malecns_all,A,0.05,17,0.09694512026224122
malecns_all,A,0.1,17,0.18964086495884067
malecns_all,A,0.15,17,0.27738732707263014
malecns_all,A,0.2,17,0.3586737956138311
malecns_all,A,0.3,17,0.5077080479373497
malecns_all,A,0.4,17,0.6367009289397885
malecns_all,A,0.5,17,0.7453354461968915
malecns_all,A,0.7,17,0.9067704276441066
malecns_all,A,0.85,17,0.9748738976480605
malecns_all,A,0.95,17,0.9958730835705556
malecns_all,A,0.0,18,0.0
malecns_all,A,0.01,18,0.018000073952804663
malecns_all,A,0.02,18,0.038005138091220705
malecns_all,A,0.05,18,0.09552131913742648
malecns_all,A,0.1,18,0.18998920588991355
malecns_all,A,0.15,18,0.2768156925335871
malecns_all,A,0.2,18,0.358349272452598
malecns_all,A,0.3,18,0.50809575188547
malecns_all,A,0.4,18,0.63413599540209
malecns_all,A,0.5,18,0.7418752015621103
malecns_all,A,0.7,18,0.9054173944833691
malecns_all,A,0.85,18,0.9743415616229645
malecns_all,A,0.95,18,0.9958183446269393
malecns_all,A,0.0,19,0.0
malecns_all,A,0.01,19,0.020245225307152878
malecns_all,A,0.02,19,0.040346520008547306
malecns_all,A,0.05,19,0.0970952673543052
malecns_all,A,0.1,19,0.18842813410446144
malecns_all,A,0.15,19,0.27632553347329536
malecns_all,A,0.2,19,0.35926095121141904
malecns_all,A,0.3,19,0.5096880351086506
malecns_all,A,0.4,19,0.635718159701388
malecns_all,A,0.5,19,0.7453477501633017
malecns_all,A,0.7,19,0.9073828362055193
malecns_all,A,0.85,19,0.9752883300684283
malecns_all,A,0.95,19,0.9960401788522618
malecns_all,A,0.0,20,0.0
malecns_all,A,0.01,20,0.020130466228571283
malecns_all,A,0.02,20,0.03946508514094806
malecns_all,A,0.05,20,0.09878127358243431
malecns_all,A,0.1,20,0.19124987061081195
malecns_all,A,0.15,20,0.27865775595035863
malecns_all,A,0.2,20,0.360998745366319
malecns_all,A,0.3,20,0.5094923891421093
malecns_all,A,0.4,20,0.6381510392666978
malecns_all,A,0.5,20,0.7450101006211277
malecns_all,A,0.7,20,0.9054479931416434
malecns_all,A,0.85,20,0.9745654035072884
malecns_all,A,0.95,20,0.9959273548666936
malecns_all,A,0.0,21,0.0
malecns_all,A,0.01,21,0.020442121021265334
malecns_all,A,0.02,21,0.039354091430855026
malecns_all,A,0.05,21,0.09901394432863181
malecns_all,A,0.1,21,0.1917123739667873
malecns_all,A,0.15,21,0.27987730800761
malecns_all,A,0.2,21,0.3597254622263958
malecns_all,A,0.3,21,0.5080741191581578
malecns_all,A,0.4,21,0.6388813756215015
malecns_all,A,0.5,21,0.7480028670983118
malecns_all,A,0.7,21,0.9072537896901889
malecns_all,A,0.85,21,0.975609611948864
malecns_all,A,0.95,21,0.9957295399833999
malecns_all,A,0.0,22,0.0
malecns_all,A,0.01,22,0.019347979117056727
malecns_all,A,0.02,22,0.04010842293902475
malecns_all,A,0.05,22,0.0983003545912815
malecns_all,A,0.1,22,0.18768251051485196
malecns_all,A,0.15,22,0.272184894009231
malecns_all,A,0.2,22,0.3531019452312882
malecns_all,A,0.3,22,0.501978495537103
malecns_all,A,0.4,22,0.6332121094315095
malecns_all,A,0.5,22,0.7466818274753956
malecns_all,A,0.7,22,0.9048414382365961
malecns_all,A,0.85,22,0.9747332325117621
malecns_all,A,0.95,22,0.9959489875940059
malecns_all,A,0.0,23,0.0
malecns_all,A,0.01,23,0.0189958486288326
malecns_all,A,0.02,23,0.0373017801581787
malecns_all,A,0.05,23,0.09242774237713244
malecns_all,A,0.1,23,0.1872108477186132
malecns_all,A,0.15,23,0.2753457313775155
malecns_all,A,0.2,23,0.3596272078786409
malecns_all,A,0.3,23,0.5066752646074406
malecns_all,A,0.4,23,0.6410255312463259
malecns_all,A,0.5,23,0.7482390048861582
malecns_all,A,0.7,23,0.9059043606401888
malecns_all,A,0.85,23,0.9750010735734781
malecns_all,A,0.95,23,0.9958190541610442
malecns_all,A,0.0,24,0.0
malecns_all,A,0.01,24,0.018407846428051315
malecns_all,A,0.02,24,0.03902687526517829
malecns_all,A,0.05,24,0.09562137957199388
malecns_all,A,0.1,24,0.1864602009500565
malecns_all,A,0.15,24,0.27411480258592286
malecns_all,A,0.2,24,0.3563729861466852
malecns_all,A,0.3,24,0.5085281081048743
malecns_all,A,0.4,24,0.6371254319067134
malecns_all,A,0.5,24,0.7459868630082992
malecns_all,A,0.7,24,0.9068462107242435
malecns_all,A,0.85,24,0.9754459837088066
malecns_all,A,0.95,24,0.9956653674613433
malecns_all,A,0.0,25,0.0
malecns_all,A,0.01,25,0.020683064290095084
malecns_all,A,0.02,25,0.03939584912550647
malecns_all,A,0.05,25,0.09836322092555402
