graph,w,mode,frac,n,eat_n,eat_measurable,eat_med,eat_q25,eat_q75,bitter_n,bitter_measurable,bitter_med,bitter_q25,bitter_q75,escape_n,escape_measurable,escape_med,escape_q25,escape_q75,turn_away_n,turn_away_measurable,turn_away_med,turn_away_q25,turn_away_q75,turn_to_n,turn_to_measurable,turn_to_med,turn_to_q25,turn_to_q75,head_n,head_measurable,head_med,head_q25,head_q75
malecns_ge5,1.0,A,0.0,20,20,1.0,1.0,0.9108006593958253,1.0552172283968344,20,1.0,1.0,0.980747654297397,1.0129583564295204,20,1.0,1.0,0.9999996926232027,1.0017060818426808,20,1.0,1.0,0.8249827519423165,1.166641667916604,20,1.0,1.0,0.9840377999195746,1.0310408443304104,20,1.0,1.0,0.9853818180759253,1.0185585747319037
malecns_ge5,1.0,A,0.01,20,20,1.0,1.1009107307650465,1.0291018462706223,1.1556113846030924,20,1.0,0.997722491930177,0.9774245181008581,1.0158114969666592,20,1.0,1.0027319649737991,0.9959076376030765,1.0044375813944986,20,1.0,1.166641667916604,1.0,1.3999280057595391,20,1.0,1.0319116342305654,0.9641531314126721,1.0722655426024104,20,1.0,0.9761284273027668,0.9625865905038423,0.9939187328423913
malecns_ge5,1.0,A,0.02,20,20,1.0,1.0678390766649404,0.8901211111111111,1.127174613479323,20,1.0,0.9777236137305191,0.9597246319941614,1.0138090033179556,20,1.0,1.0013659824868995,0.9969316490759341,1.004094679536494,20,1.0,1.5998920086393087,1.124981250937453,1.9998200143988483,20,1.0,0.9772818723323103,0.8903736407492401,1.0746748622185773,20,1.0,0.9692209090195512,0.9498274418054403,1.026142836854812
malecns_ge5,1.0,A,0.05,20,20,1.0,1.0527607112248796,0.9283955555555555,1.1755177929234797,20,1.0,1.003977533121547,0.9390856596427976,1.0721245184141686,20,1.0,1.006143811730949,0.9996603660662001,1.0150122901777672,20,1.0,1.4499265047546759,0.8333583320833958,1.808194093535064,20,1.0,0.9442863374476957,0.8867211120642375,1.0703143676786993,20,1.0,1.0110274091656513,0.9841180441796329,1.023366410080571
malecns_ge5,1.0,A,0.1,20,20,1.0,0.8543222222222222,0.7722805788733537,1.0854252266390485,20,1.0,1.0572323473754093,0.9788954254293978,1.098868664162366,20,1.0,1.0109148081390495,1.0078469425776366,1.0242159068026777,20,1.0,1.6998740100791936,0.958339583020849,3.1248462617365886,20,1.0,0.8172355504314284,0.5932899821864073,1.0460977742600548,20,1.0,1.0660609745926048,1.0018908079498292,1.1327977662762034
malecns_ge5,1.0,A,0.15,20,20,1.0,0.6938266666666666,0.4327110265936718,0.9949731244191279,20,1.0,1.0552492651919443,1.0175057961499592,1.103408467698922,20,1.0,1.01296037542176,1.0051213450178051,1.0313784618709205,20,1.0,1.916529173541323,1.1249812509374533,3.0748252611667475,20,1.0,0.8531714980990641,0.5772099713235773,1.3194839658915234,20,1.0,1.09768383786696,1.0330317103036852,1.1388670342085048
malecns_ge5,1.0,A,0.2,20,20,1.0,0.5185177777777779,0.39170825578949986,0.8879688207156419,20,1.0,1.083905861645794,1.0431066352727327,1.1084306634270464,20,1.0,1.0163824623003412,1.0146843117341706,1.0293426792579958,20,1.0,1.7332113415927477,0.9998425092244307,6.9745657763008175,20,1.0,1.0854642025878358,0.5113697589200543,1.359955360897851,20,1.0,1.166036657274418,1.1403171483257413,1.2102102655796998
malecns_ge5,1.0,A,0.3,20,20,1.0,0.3336434860240196,0.13333333333333333,0.5592227676081977,20,1.0,1.0894503229886223,0.8296545619282618,1.1084306634270464,20,1.0,1.0232077205150267,1.0105872864038636,1.0300242742355017,20,1.0,1.4665876722362585,0.19163341913897824,11.032587389259046,20,1.0,1.1149730622413376,0.8627002272002129,1.454787064282842,20,1.0,1.3166118481805529,1.1981884728471557,1.3972897072505002
malecns_ge5,1.0,A,0.4,20,20,1.0,0.24423353905156447,0.10660533269413848,0.5439419830166128,19,0.95,1.1084306634270464,1.0125624334295784,1.1167058838449706,20,1.0,1.0245727721579638,1.003752876537972,1.028991250472715,20,1.0,4.4997750112494375,0.3832668382779565,8.74931005069617,20,1.0,1.0399190737410153,0.07801259997319154,1.5742202331566144,20,1.0,1.4402864073856676,1.3808354982061009,1.5410431285620847
malecns_ge5,1.0,A,0.5,20,20,1.0,0.15681480205436824,0.08148222222222222,0.5040591264965112,19,0.95,1.1084306634270464,1.0471051913269283,1.1167058838449706,20,1.0,1.0163824623003415,1.0023903108879686,1.0279681598734842,20,1.0,2.9830988472174664,0.4582645867706615,8.049316054715623,20,1.0,1.5886498113833798,0.5295877159902522,1.7011731658955715,20,1.0,1.6266537214883061,1.5371435071650446,1.6559174310375533
malecns_ge5,1.0,A,0.7,20,20,1.0,0.007450084916936076,0.0,0.0261849539460609,6,0.3,,,,20,1.0,1.011603087458735,1.0064820489798836,1.0153685324848094,20,1.0,7.116238194569753,2.9998050110993373,11.849127069834413,20,1.0,1.2470069082765045,0.9746364560485441,1.6950299041916934,20,1.0,1.8121819302675153,1.7674040402497107,1.8190655385465009
malecns_ge5,1.0,A,0.85,20,20,1.0,0.0,0.0,0.0,1,0.05,,,,20,1.0,1.0081958949213976,1.0013650416726012,1.0109141942232984,20,1.0,2.3498695070646036,0.0,13.707664616769161,20,1.0,0.8794321714209118,0.6329515690874042,1.0234369506827354,20,1.0,1.8702945293746507,1.8486135776357677,1.8947727479468814
malecns_ge5,1.0,A,0.95,20,20,1.0,0.0,0.0,0.0,0,0.0,,,,20,1.0,1.0068258721304364,1.0027310341298366,1.009550073424324,20,1.0,0.0,0.0,0.0,20,1.0,0.5482307711696048,0.0,0.8567138816792614,20,1.0,1.9161939587718373,1.8968386717191412,1.9248988540921217
