graph,w,mode,frac,n,eat_n,eat_measurable,eat_med,eat_q25,eat_q75,bitter_n,bitter_measurable,bitter_med,bitter_q25,bitter_q75,escape_n,escape_measurable,escape_med,escape_q25,escape_q75,turn_away_n,turn_away_measurable,turn_away_med,turn_away_q25,turn_away_q75,turn_to_n,turn_to_measurable,turn_to_med,turn_to_q25,turn_to_q75,head_n,head_measurable,head_med,head_q25,head_q75
malecns_ge5,0.5524861878453039,syn,0.0,100,100,1.0,1.0,0.8000180001800017,1.157984679073595,100,1.0,1.0,1.0,1.0,100,1.0,1.0,0.9985674793309572,1.0014325206690424,100,1.0,1.0,0.9758953329001221,1.0238069728073371,100,1.0,1.0,0.9842949023869672,1.011677166275865,100,1.0,1.0,0.9930781294848068,1.0059919130439703
malecns_ge5,0.5524861878453039,syn,0.01,100,100,1.0,0.8979336945541372,0.7272950417280314,1.0499954999549994,100,1.0,1.0,1.0,1.0,100,1.0,0.9985661899334154,0.9971349586619147,0.9992883273514824,100,1.0,1.0238069728073371,0.9761930271926628,1.0482149592560062,100,1.0,0.9963902435854531,0.9778610735536964,1.0108357674550081,100,1.0,0.9993753199850833,0.9942249414542237,1.0071283465435292
malecns_ge5,0.5524861878453039,syn,0.02,100,100,1.0,0.8,0.6632756809624392,0.9090983472426772,100,1.0,1.0,1.0,1.0,100,1.0,0.9964416367574119,0.9957011485953302,0.9985661899334154,100,1.0,1.0238069728073371,0.9761930271926628,1.0714209184220111,100,1.0,0.9946858452932467,0.9720244950877656,1.0109080198327631,100,1.0,1.0028158878636286,0.9954330378637206,1.010159563470328
malecns_ge5,0.5524861878453039,syn,0.05,100,100,1.0,0.4897786757277987,0.40000900009000084,0.6182865187919471,98,0.98,1.0,1.0,1.0,100,1.0,0.9914035865882025,0.989969776521618,0.992836107257245,100,1.0,1.0714209184220111,1.0238069728073371,1.1264237019872345,100,1.0,0.9891707307563594,0.9746857672545168,1.0044750806588372,100,1.0,1.0036808351976452,0.9963237957191525,1.0144663394830085
malecns_ge5,0.5524861878453039,syn,0.1,100,100,1.0,0.1818033055146457,0.11682436399164249,0.2857195334741482,59,0.59,1.0,1.0,1.0,100,1.0,0.9813746525073624,0.9799421318383198,0.982807173176405,100,1.0,1.1428418368440225,1.0714209184220111,1.2000045000450004,100,1.0,0.967512192269078,0.9504176658423421,0.9925654961304777,100,1.0,1.007270500274367,1.0002297567502967,1.013765589439123
malecns_ge5,0.5524861878453039,syn,0.15,100,100,1.0,0.04444,0.0,0.08162365690146019,3,0.03,,,,100,1.0,0.970818859133015,0.9688353514587388,0.9718413738742689,100,1.0,1.1904772108770652,1.1264237019872345,1.250022500225002,100,1.0,0.966154066393445,0.9402978057479061,0.9852955774232188,100,1.0,1.0137683748935897,1.00573023501583,1.0191786517375259
malecns_ge5,0.5524861878453039,syn,0.2,100,100,1.0,0.0,0.0,0.010202957112682523,2,0.02,,,,100,1.0,0.9584517430075972,0.9569101277251408,0.9598842636766396,100,1.0,1.2857051021064134,1.2142841836844023,1.3333195402774474,100,1.0,0.9650321922851801,0.9398802649962634,0.982634007844096,100,1.0,1.0181373477449749,1.0057302350158301,1.026427582540125
malecns_ge5,0.5524861878453039,syn,0.3,100,100,1.0,0.0,0.0,0.0,0,0.0,,,,100,1.0,0.9298000402292033,0.9283662301626188,0.9312325608982458,100,1.0,1.1904772108770652,1.1190348640366854,1.2618981292990765,100,1.0,0.9097495914249604,0.8823513840819001,0.9373425713431025,100,1.0,1.0133951525208122,1.0067789659599486,1.0191082872095674
malecns_ge5,0.5524861878453039,syn,0.4,100,100,1.0,0.0,0.0,0.0,0,0.0,,,,100,1.0,0.8946450471387604,0.8924178417026829,0.8968472296004415,100,1.0,0.946269590479947,0.880943707544946,1.0476139456146742,100,1.0,0.8805956114958122,0.8495985187415214,0.9018212760386837,100,1.0,0.998296602229598,0.9921819767242517,1.005054492814559
malecns_ge5,0.5524861878453039,syn,0.5,100,100,1.0,0.0,0.0,0.0,0,0.0,,,,100,1.0,0.8495698569800245,0.8474835614194105,0.8524348983181098,100,1.0,0.6228493824915697,0.5476246598238584,0.7000045000450005,100,1.0,0.8079677143083774,0.785970450659228,0.8366619499124068,100,1.0,0.9646674996903397,0.9561962192655871,0.9737478302562415
malecns_ge5,0.5524861878453039,syn,0.7,100,100,1.0,0.0,0.0,0.0,0,0.0,,,,100,1.0,0.7119135948076827,0.7090244975433575,0.714643660275062,100,1.0,0.0,0.0,0.0,100,1.0,0.5703999974007156,0.551468787844697,0.5955886732269656,100,1.0,0.8141079696018342,0.8081506611387899,0.8214283052112143
malecns_ge5,0.5524861878453039,syn,0.85,100,100,1.0,0.0,0.0,0.0,0,0.0,,,,100,1.0,0.5128939754189252,0.5100276446832981,0.5186243804444811,100,1.0,0.0,0.0,0.0,100,1.0,0.1468509462580795,0.1227447145173291,0.16176188364844388,100,1.0,0.5603407731209916,0.554297464665578,0.5676321393253582
malecns_ge5,0.5524861878453039,syn,0.95,100,100,1.0,0.0,0.0,0.0,0,0.0,,,,100,1.0,0.2630806895300288,0.2578795083785052,0.2664746323927608,100,1.0,0.0,0.0,0.0,100,1.0,0.0,0.0,0.0,100,1.0,0.20971381610050568,0.20252404362214865,0.21552799266497016
