graph,w,dt,sd,removed,flies,s150_l100_ok,s150_l100_med,s150_l150_ok,s150_l150_med,s80_l100_ok,s80_l100_med,s40_l100_ok,s40_l100_med,s150_lL150_ok,s150_lL150_med,s150_lR150_ok,s150_lR150_med,s150_med,s80_med,s40_med,loom_med
malecns_ge5,0.152,0.2,0.5,PVLP069_R,10,0.4,45.7,0.0,28.1,0.0,0.0,0.0,0.0,0.8,51.9,1.0,56.5,63.0,15.1,0.5,388.2
malecns_ge5,0.152,0.2,0.5,PVLP069_both,10,0.5,43.9,0.0,27.1,0.0,0.0,0.0,0.0,0.9,49.9,1.0,58.9,63.0,15.1,0.5,387.2
malecns_ge5,0.152,0.2,0.5,intact,10,0.0,37.2,0.0,25.8,0.0,0.0,0.0,0.0,0.9,51.5,0.8,50.2,63.0,15.1,0.5,389.1
malecns_ge5,0.152,0.2,1.0,PVLP069_L,10,0.5,48.2,0.0,33.1,0.0,0.0,0.0,0.0,0.9,59.6,0.9,55.0,67.6,18.6,0.8,387.4
malecns_ge5,0.152,0.2,1.0,PVLP069_R,10,0.8,51.7,0.0,35.3,0.0,0.0,0.0,0.0,0.9,59.1,1.0,62.2,67.6,18.6,0.8,387.2
malecns_ge5,0.152,0.2,1.0,PVLP069_both,10,0.7,53.0,0.0,32.1,0.0,0.0,0.0,0.0,0.9,59.1,1.0,62.3,67.6,18.6,0.8,386.5
malecns_ge5,0.152,0.2,1.0,intact,10,0.4,42.2,0.0,28.1,0.0,0.0,0.0,0.0,0.9,56.5,1.0,58.6,67.6,18.6,0.8,388.0
malecns_ge5,0.275,0.2,0.5,PVLP069_L,5,1.0,133.8,0.6,98.6,0.6,80.8,0.4,47.2,1.0,138.8,1.0,145.8,150.0,94.2,92.2,406.2
malecns_ge5,0.275,0.2,0.5,PVLP069_R,5,1.0,141.6,0.8,105.8,0.8,93.6,0.2,29.0,1.0,135.4,1.0,144.4,150.0,94.2,92.2,402.6
malecns_ge5,0.275,0.2,0.5,PVLP069_both,5,1.0,135.6,0.6,118.2,0.6,73.6,0.2,34.8,1.0,144.8,1.0,141.8,150.0,94.2,92.2,402.8
malecns_ge5,0.275,0.2,0.5,intact,5,1.0,128.2,0.6,109.4,1.0,86.8,0.4,36.8,1.0,138.6,1.0,145.2,150.0,94.2,92.2,406.6
