graph,w,mode,frac,mask,fly,n_removed,syn_lost,eat,bitter,bitter_left_hz,escape,escape_latency_ms,turn_away,turn_wrong_side,turn_to,head,active_eat,eat:MN9_L,eat:MN9_R,eat:DNp01_L,eat:DNp01_R,eat:DNa01_L,eat:DNa01_R,eat:DNa02_L,eat:DNa02_R,eat:DNg15_L,eat:DNg15_R,eat:DNg35_L,eat:DNg35_R,eat:DNg84_L,eat:DNg84_R,eat:DNg85_L,eat:DNg85_R,eat:DNg48_L,eat:DNg48_R,active_eat_bitter,eat_bitter:MN9_L,eat_bitter:MN9_R,eat_bitter:DNp01_L,eat_bitter:DNp01_R,eat_bitter:DNa01_L,eat_bitter:DNa01_R,eat_bitter:DNa02_L,eat_bitter:DNa02_R,eat_bitter:DNg15_L,eat_bitter:DNg15_R,eat_bitter:DNg35_L,eat_bitter:DNg35_R,eat_bitter:DNg84_L,eat_bitter:DNg84_R,eat_bitter:DNg85_L,eat_bitter:DNg85_R,eat_bitter:DNg48_L,eat_bitter:DNg48_R,active_loom,loom:MN9_L,loom:MN9_R,loom:DNp01_L,loom:DNp01_R,loom:DNa01_L,loom:DNa01_R,loom:DNa02_L,loom:DNa02_R,loom:DNg15_L,loom:DNg15_R,loom:DNg35_L,loom:DNg35_R,loom:DNg84_L,loom:DNg84_R,loom:DNg85_L,loom:DNg85_R,loom:DNg48_L,loom:DNg48_R,active_loomL,loomL:MN9_L,loomL:MN9_R,loomL:DNp01_L,loomL:DNp01_R,loomL:DNa01_L,loomL:DNa01_R,loomL:DNa02_L,loomL:DNa02_R,loomL:DNg15_L,loomL:DNg15_R,loomL:DNg35_L,loomL:DNg35_R,loomL:DNg84_L,loomL:DNg84_R,loomL:DNg85_L,loomL:DNg85_R,loomL:DNg48_L,loomL:DNg48_R,active_lc10L,lc10L:MN9_L,lc10L:MN9_R,lc10L:DNp01_L,lc10L:DNp01_R,lc10L:DNa01_L,lc10L:DNa01_R,lc10L:DNa02_L,lc10L:DNa02_R,lc10L:DNg15_L,lc10L:DNg15_R,lc10L:DNg35_L,lc10L:DNg35_R,lc10L:DNg84_L,lc10L:DNg84_R,lc10L:DNg85_L,lc10L:DNg85_R,lc10L:DNg48_L,lc10L:DNg48_R,active_head,head:MN9_L,head:MN9_R,head:DNp01_L,head:DNp01_R,head:DNa01_L,head:DNa01_R,head:DNa02_L,head:DNa02_R,head:DNg15_L,head:DNg15_R,head:DNg35_L,head:DNg35_R,head:DNg84_L,head:DNg84_R,head:DNg85_L,head:DNg85_R,head:DNg48_L,head:DNg48_R,eat_rel,eat_base,bitter_rel,bitter_base,escape_rel,escape_base,turn_away_rel,turn_away_base,turn_to_rel,turn_to_base,head_rel,head_base
malecns_all,0.5524861878453039,B,0.0,0,5,0,,13.889,1.0,0.0,388.33349999999996,3.265,26.6665,0.0,161.111,175.77769999999998,260.0,27.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9043.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,7.778,1.111,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3232.0,0.0,0.0,396.667,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2132.3333333333335,0.0,0.0,388.889,128.889,0.0,53.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,161.111,0.0,0.0,0.0,7.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3261.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.444,167.778,191.111,71.111,265.556,251.111,222.222,198.889,212.222,163.333,1.3158069252996067,10.5555,1.0,1.0,1.0043099100776636,386.66700000000003,1.0,26.6665,1.0,161.111,0.9974773333106345,176.22225000000003
malecns_all,0.5524861878453039,B,0.0,1,5,0,,7.222,1.0,0.0,386.111,3.335,26.6665,0.0,166.667,176.0002,227.0,14.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10979.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.556,1.111,33.333,31.111,0.0,0.0,0.0,0.0,0.0,0.0,3224.6666666666665,0.0,0.0,394.444,377.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2162.3333333333335,0.0,0.0,387.778,123.333,0.0,53.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,166.667,0.0,0.0,0.0,6.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3346.6666666666665,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.556,166.667,186.667,60.0,267.778,247.778,227.778,208.889,216.667,162.222,0.6841930747003931,10.5555,1.0,1.0,0.9985620702051118,386.66700000000003,1.0,26.6665,1.034485541024511,161.111,0.9987399434520895,176.22225000000003
malecns_all,0.5524861878453039,B,0.0,0,3,0,,12.222,1.0,0.0,385.556,3.335,26.6665,0.0,164.444,173.6668,355.6666666666667,24.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7694.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,4.444,0.0,13.333,14.444,0.0,0.0,0.0,0.0,0.0,0.0,3319.6666666666665,0.0,0.0,395.556,375.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2133.3333333333335,0.0,0.0,388.889,121.111,0.0,53.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.3333333333334,0.0,0.0,0.0,0.0,2.222,0.0,164.444,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3407.6666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.889,160.0,175.556,65.556,273.333,238.889,233.333,198.889,226.667,155.556,1.0,12.222,1.0,1.0,1.0014441558441558,385.0,1.0908997934095603,24.4445,0.996630303030303,165.0,0.9883034096725996,175.72215
malecns_all,0.5524861878453039,B,0.0,0,4,0,,7.778,1.0,0.0,381.111,3.4,27.222,0.0,154.444,170.5556,220.0,15.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11552.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,21.111,0.0,47.778,45.556,0.0,0.0,0.0,0.0,0.0,0.0,3192.3333333333335,0.0,0.0,398.889,363.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2038.0,0.0,0.0,390.0,93.333,0.0,54.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,154.444,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3210.0,28.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,160.0,176.667,51.111,265.556,253.333,215.556,201.111,212.222,160.0,0.8485013772602067,9.16675,1.0,1.0,0.9978177457719644,381.94449999999995,1.0208313801961264,26.6665,0.9823275930607895,157.2225,0.9964295051462974,171.16675
malecns_all,0.5524861878453039,B,0.0,0,2,0,,15.5555,1.0,0.0,384.4445,3.37,26.6665,0.0,160.0,171.2223,310.3333333333333,31.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11574.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.889,0.0,40.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,3246.3333333333335,0.0,0.0,397.778,371.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2109.6666666666665,0.0,0.0,392.222,115.556,0.0,53.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,12.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3641.0,34.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,175.556,192.222,48.889,271.111,241.111,204.444,196.667,216.667,155.556,1.0370333333333333,15.0,1.0,1.0,1.0,384.4445,1.0,26.6665,0.9896917419502496,161.66649999999998,0.9980574805070428,171.55554999999998
malecns_all,0.5524861878453039,B,0.0,2,4,0,,8.889,1.0,0.0,382.778,3.465,26.111,0.0,160.0,169.3333,241.0,17.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11002.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,35.556,36.667,0.0,0.0,0.0,0.0,0.0,0.0,3165.0,0.0,0.0,400.0,365.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.3333333333335,0.0,0.0,390.0,96.667,0.0,52.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3328.3333333333335,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,164.444,176.667,54.444,266.667,256.667,207.778,193.333,213.333,153.333,0.9697002754520412,9.16675,1.0,1.0,1.0021822542280359,381.94449999999995,0.9791686198038738,26.6665,1.0176660465264196,157.2225,0.9892885154388922,171.16675
malecns_all,0.5524861878453039,B,0.0,1,3,0,,10.0,1.0,0.0,385.0,3.435,23.889,0.0,167.778,174.1112,228.66666666666666,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10732.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,12.222,0.0,27.778,27.778,0.0,0.0,0.0,0.0,0.0,0.0,3327.3333333333335,0.0,0.0,394.444,375.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2166.0,0.0,0.0,387.778,120.0,0.0,47.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.6666666666667,1.111,0.0,0.0,0.0,3.333,0.0,167.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3428.6666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.778,171.111,182.222,48.889,275.556,233.333,236.667,203.333,225.556,156.667,0.8181966944853543,12.222,1.0,1.0,1.0,385.0,0.9772750516476099,24.4445,1.0168363636363635,165.0,0.9908324021758214,175.72215
malecns_all,0.5524861878453039,B,0.0,0,1,0,,14.4445,1.0,0.0,385.556,3.465,26.6665,0.0,162.222,175.55559999999997,330.3333333333333,28.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11850.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,4.444,0.0,18.889,0.0,52.222,43.333,0.0,0.0,0.0,0.0,0.0,0.0,3246.0,0.0,0.0,395.556,375.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074.3333333333335,0.0,0.0,386.667,112.222,0.0,53.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.6666666666666,0.0,0.0,0.0,0.0,1.111,0.0,162.222,0.0,0.0,0.0,6.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3177.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.222,171.111,196.667,61.111,265.556,262.222,213.333,200.0,216.667,156.667,2.0800662418547717,6.94425,1.0,1.0,1.0014441558441558,385.0,0.969690909090909,27.5,0.9668848120730965,167.77800000000002,1.003812708418149,174.8888
malecns_all,0.5524861878453039,B,0.0,2,2,0,,31.6665,1.0,0.0,385.0,3.4699999999999998,27.222,0.0,172.222,169.7779,521.0,61.111,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11746.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.889,0.0,43.333,38.889,0.0,0.0,0.0,0.0,0.0,0.0,3212.6666666666665,0.0,0.0,397.778,372.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2125.3333333333335,0.0,0.0,390.0,111.111,0.0,54.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,172.222,0.0,0.0,0.0,8.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3392.0,36.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,166.667,194.444,46.667,265.556,237.778,207.778,193.333,217.778,157.778,2.1111,15.0,1.0,1.0,1.0014449419877252,384.4445,1.0208313801961264,26.6665,1.0652918198884742,161.66649999999998,0.9896380501825793,171.55554999999998
malecns_all,0.5524861878453039,B,0.0,1,4,0,,12.222,1.0,0.0,382.22249999999997,3.4000000000000004,26.6665,0.0,150.0,173.88889999999998,268.0,24.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11716.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,3.333,0.0,22.222,0.0,52.222,44.444,0.0,0.0,0.0,0.0,0.0,0.0,3235.3333333333335,0.0,0.0,398.889,365.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071.0,0.0,0.0,391.111,92.222,0.0,53.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3301.6666666666665,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.889,176.667,182.222,46.667,268.889,257.778,213.333,207.778,214.444,162.222,1.333296970027545,9.16675,1.0,1.0,1.0007278544395848,381.94449999999995,1.0,26.6665,0.9540619186185184,157.2225,1.015903497612708,171.16675
